FilenameAndPath;FileSize;FileSha512Hash;Category;Source;GroupId
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\MyDupFinderLib.csproj";707;7AB246DAD8D1BCC64A2337D79450DE885F9ED500969D4902FFA5D87397F40A22754EE5350A1C0BA8E45802EB1C610196DD8CC7ACBB18696A8110CFA2A4DFB764;Duplicate;Base;14
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\Check\CheckReportApplier.cs";6894;84292BDD3C1632C967E6CB35AB02E71C586DFEEE965C3344E9998E859F8DEFAD391672C8E30A0812666F634C7C0E72BA5FC144CFCD52F6119A25EB4FE35678C0;Duplicate;Base;15
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\IFindDupsService.cs";173;8F1533E2A776934FD4F34FB66FA15DD274AD1EEFBA1700C81CDD9A27D77E71777B77B91260042A00D341B62987C6FAC00DA568F29087AD8F44607937CD4E740C;Duplicate;Base;16
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\Refresh\RefreshDetail\ScanService.cs";1506;981649D28CCBB938E20E26133F9FF1DC36D731A34EBCDA294595CA0D4A825261221DB42C47504D6EF7B9AD5005A3B7FADBB10909FF32305002017D48C64B4612;Duplicate;Base;17
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\Refresh\RefreshService.cs";1419;98D357C9A8161148A30BCE40980D12D603000E8328F4DB75275734512D586CDA6DEC38855E3F7C0FC94B3F733194CB47DA6625BC19BB59F73EF9A9565FDFE750;Duplicate;Base;18
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\Helper\IEnumerateFilesToIndex.cs";488;A2B955FE70B976D4E672C2C816049CE3DE6AA6EE469BB212CC257DD7FF22B101060A3C9A9897C7C572A209866CE3ECDC5D2452AE106C7CCC25ABBEFBBB4741F2;Duplicate;Base;19
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\Check\CheckReportHeader.cs";942;B4E2CB2855D1D17B888AD9260B6DB46F308E88652E118BF3E85EE56CCDA016BE8C52F46360A53213133F3E4FA2C95D45E99E39E4130ECB1C24CF7738DDAAF652;Duplicate;Base;20
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\Check\CheckDetail\BasicRunner.cs";3116;D83D24E7044F50B93B43D4A542059CDA3CB9CB6E5CE982390BC215576C49C387ABC00C8639C17D3C3B302E9E8AC6DFE715A553A0AC75058DF4FC0AFDDFDE61FE;Duplicate;Base;21
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\Check\CheckDetail\IRunner.cs";434;DAE68BF31AFF8535EFE1FC03FF73FAC219C5BD19A7F67221159FDD6638D3C0C31913A5468BB0C27C1B2E0BBA61BCF919460B4EB8D62130F2AB7DF613AAFAADD0;Duplicate;Base;22
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\Check\CheckDetail\BasicService.cs";3475;EE87603257B018EA3A56A0BB122BF9F2C52E74205E08D306A06F2ED2165CC8307282196D7E727F148A47E01C813701232882762C1612A0094FADCCE40144E2E1;Duplicate;Base;23
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\FindDupsService.cs";1998;F0D7FC9C78366708500F8CE643570464E324B496AEBB380695F590AC4C3869F6E59B9E7F64CBCA41E8C6401F2358E1F4160BDFD23951BEE25B3FDA9F5C6FA97E;Duplicate;Base;24
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\MyDupFinderProject.cs";3620;FE6C6D9CF768DA70E418B9E47DB0453A5B1C375C9E2DA74BA80CDE765564E2C1A0CC47F85C1C21A38800CC00E912F7F96BB58E528A061192D2B96B64EFBB0177;Duplicate;Base;25
