FilenameAndPath;FileSize;FileSha512Hash;Category;Source;GroupId
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\Check\CheckReportRow.cs";1538;4F67F26FFB2178C6D5DB09A8F6D2D7019E39D3F67E9A04667B2A77A80CBF7CCB7409DCE13CEC09343A2FF8E1BDC05428F77126B60B9B67F91FB122855441FC7B;Duplicate;Second;10
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\Helper\DiscThrottle.cs";2626;529CEC93E5CC548AC3548063A414708E0FC6170C3B0D3DE92316FBE405B412F98834205DA7D64E83A66ACB15504F0733D88FA43C744EA1D5CE77480DD83487D5;Duplicate;Base;11
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\FindDups\Helper\DiscThrottle.cs";2626;529CEC93E5CC548AC3548063A414708E0FC6170C3B0D3DE92316FBE405B412F98834205DA7D64E83A66ACB15504F0733D88FA43C744EA1D5CE77480DD83487D5;Duplicate;Second;11
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\Refresh\RefreshDetail\IScanRunner.cs";167;54ED3864EF43CF12C6A3F89D83EC18A88697FF3392F7FA00411172BBCF4C02C1FECFBB37B2561746DC161AC23C0704F51DCA83795371D3AE6584746BEAFF7940;Duplicate;Base;12
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\FindDups\Refresh\RefreshDetail\IScanRunner.cs";167;54ED3864EF43CF12C6A3F89D83EC18A88697FF3392F7FA00411172BBCF4C02C1FECFBB37B2561746DC161AC23C0704F51DCA83795371D3AE6584746BEAFF7940;Duplicate;Second;12
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\FindDupsInDifferentDBs.cs";3302;66F8E5D1524743B7B0F8833C120695B15045629419AB05D367B8A88EC28CAACD26B1F4119C97A33353B1EDCBDFBED9F0964CE57BA7D692FA981FAE3E9602366D;Duplicate;Base;13
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\FindDups\FindDupsInDifferentDBs.cs";3302;66F8E5D1524743B7B0F8833C120695B15045629419AB05D367B8A88EC28CAACD26B1F4119C97A33353B1EDCBDFBED9F0964CE57BA7D692FA981FAE3E9602366D;Duplicate;Second;13
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\Check\CheckReportCsv.cs";10298;6D6D92CCCCCCA83E097FC2841A38895AE102976EE1B6C1687D8BEA2CEC9EFA90253A680F9C4CA36D49B8F79F472D78F199BF21700ADC24F19996E524C7B351A9;Duplicate;Base;14
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\Check\CheckReportCsv.cs";10298;6D6D92CCCCCCA83E097FC2841A38895AE102976EE1B6C1687D8BEA2CEC9EFA90253A680F9C4CA36D49B8F79F472D78F199BF21700ADC24F19996E524C7B351A9;Duplicate;Second;14
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\MyDupFinderLib.csproj";707;7AB246DAD8D1BCC64A2337D79450DE885F9ED500969D4902FFA5D87397F40A22754EE5350A1C0BA8E45802EB1C610196DD8CC7ACBB18696A8110CFA2A4DFB764;Duplicate;Base;15
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\MyDupFinderLib.csproj";707;7AB246DAD8D1BCC64A2337D79450DE885F9ED500969D4902FFA5D87397F40A22754EE5350A1C0BA8E45802EB1C610196DD8CC7ACBB18696A8110CFA2A4DFB764;Duplicate;Second;15
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\Check\CheckReportApplier.cs";6894;84292BDD3C1632C967E6CB35AB02E71C586DFEEE965C3344E9998E859F8DEFAD391672C8E30A0812666F634C7C0E72BA5FC144CFCD52F6119A25EB4FE35678C0;Duplicate;Base;16
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\Check\CheckReportApplier.cs";6894;84292BDD3C1632C967E6CB35AB02E71C586DFEEE965C3344E9998E859F8DEFAD391672C8E30A0812666F634C7C0E72BA5FC144CFCD52F6119A25EB4FE35678C0;Duplicate;Second;16
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\IFindDupsService.cs";173;8F1533E2A776934FD4F34FB66FA15DD274AD1EEFBA1700C81CDD9A27D77E71777B77B91260042A00D341B62987C6FAC00DA568F29087AD8F44607937CD4E740C;Duplicate;Base;17
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\FindDups\IFindDupsService.cs";173;8F1533E2A776934FD4F34FB66FA15DD274AD1EEFBA1700C81CDD9A27D77E71777B77B91260042A00D341B62987C6FAC00DA568F29087AD8F44607937CD4E740C;Duplicate;Second;17
